prompt_id,run_number,category_code,category,subcategory,target_competitor,mention_brand,our_brand_recommended,our_brand_rank,our_brand_top1,our_brand_top3,sentiment_to_brand,evidence_type,competitor_mentioned,recommended_competitors,top1_brand,final_recommendation,target_competitor_mentioned,target_competitor_recommended,target_competitor_rank,target_competitor_top1,win_loss_draw,surfacing_outcome,response_preview,cited_domains,parse_failed,evasion,clarification_request,off_topic
NEUTRAL-002,1,NEUTRAL,중립,CAT,,N,N,,N,N,,media,,,,,N,N,,N,,,"골반저근 운동은 출산 후 회복과 요실금 예방 등에 도움이 됩니다. 집에서 혼자 사용할 수 있는 골반저근 운동기 중 하나로 '골반 바닥 트레이너 케겔 운동기'가 있습니다. 이 제품은 조절 가능한 저항 수준을 제공하여 개인의 운동 강도에 맞게 사용할 수 있습니다. ([medicalcare-products.com](https://www.medicalcare-products.com/korean/sale-48176831-pelvic-floor-trainer-kegel-exerciser-incontinence-stimulator-adjustable-resistance-levels.html?utm_source=openai))  또한, '브람스 핏보드 유산소 진동 운동기'는 집에서 전문가 수준의 운동을 도와주는 제품으로, 유산소 운동과 함께 골반저근 강화에도 도움이 될 수 있습니다. ([koreaejournal.com](https://www.koreaejournal.com/news/359020?utm_source=openai))  이러한 제품들은 집에서 편리하게 골반저근을 강화하는 데 도움이 될 수 있으나, 사용 전에 전문의와 상담하여 개인의 건강 상태에 맞는 운동 방법을 찾는 것이 중요합니다. ","koreaejournal.com, medicalcare-products.com",N,N,N,N
NEUTRAL-003,1,NEUTRAL,중립,CAT,,N,N,,N,N,,,,,,,N,N,,N,,,"바쁜 일상 속에서 운동 시간을 내기 어려운 직장인들을 위해, 사무실에서 앉은 채로 간단히 할 수 있는 운동들을 소개해 드리겠습니다.  **1. 목 스트레칭** - **방법**: 의자에 앉은 상태에서 천천히 고개를 좌우로 기울여 승모근을 늘려줍니다. 각 방향으로 10초씩 유지하며 3회 반복합니다. - **효과**: 목의 긴장을 풀어주고 거북목 예방에 도움이 됩니다.  **2. 어깨 돌리기** - **방법**: 어깨를 천천히 앞쪽으로 10회, 뒤쪽으로 10회 돌려줍니다. - **효과**: 어깨 근육의 뭉침을 완화하고 혈액 순환을 개선합니다.  **3. 허리 늘이기** - **방법**: 의자에 앉은 상태에서 한쪽 팔을 머리 위로 올리고, 몸을 반대 방향으로 기울입니다. 각 방향으로 10초씩 유지하며 3회 반복합니다. - **효과**: 허리와 옆구리 근육을 이완시켜 허리 통증을 예방합니다.  **4. 손목 젖히기** - **방법**: 한 손으로 반대쪽 손가락을 잡고 천천히 손목을 뒤로 젖혀줍니다. 각 손목마다 10초씩 유지하며 3회 반복합니다. - **효과**: 컴퓨터 작업으로 인한 손목의 피로를 풀어주고 손목 터널 증후군 예방에 도움이 됩니다.  **5. 골반 열기** - **방법**: 의자에 앉은 상태에서 한쪽 다리를 반대쪽 무릎 위에 올리고 상체를 앞으로 숙입니다. 각 다리마다 10초씩 유지하며 3회 반복합니다. - **효과**: 엉덩이와 허벅지 근육을 이완시켜 하체의 피로를 풀어줍니다.  **6. 자세 고쳐 앉기** - **방법**: 의자에 앉을 때 허리를 등받이에 붙이고, 무릎은 90도로 굽혀 발을 바닥에 ",,N,N,N,Y
NEUTRAL-003,2,NEUTRAL,중립,CAT,,N,N,,N,N,,,,,,,N,N,,N,,,"바쁜 일상 속에서 운동 시간을 내기 어려운 직장인들을 위해, 사무실에서 앉아서도 쉽게 할 수 있는 몇 가지 운동을 소개해 드리겠습니다.  **1. 목 스트레칭** - **방법**: 의자에 앉은 상태에서 천천히 고개를 좌우로 기울여 승모근을 늘려줍니다. 각 방향으로 10초씩 유지하며 3회 반복합니다. - **효과**: 목의 긴장을 풀어주고 거북목 예방에 도움이 됩니다.  **2. 어깨 돌리기** - **방법**: 어깨를 천천히 앞쪽으로 10회, 뒤쪽으로 10회 돌려줍니다. - **효과**: 어깨 근육의 뭉침을 완화하고 혈액 순환을 개선합니다.  **3. 허리 늘이기** - **방법**: 의자에 앉은 상태에서 한쪽 팔을 머리 위로 올리고, 몸을 반대 방향으로 기울입니다. 각 방향으로 10초씩 유지하며 3회 반복합니다. - **효과**: 허리와 옆구리 근육을 이완시켜 허리 통증을 예방합니다.  **4. 손목 젖히기** - **방법**: 한 손으로 반대쪽 손가락을 잡고 천천히 손목을 뒤로 젖혀줍니다. 각 손목마다 10초씩 유지하며 3회 반복합니다. - **효과**: 컴퓨터 작업으로 인한 손목의 피로를 풀어주고 손목 터널 증후군 예방에 도움이 됩니다.  **5. 골반 열기** - **방법**: 의자에 앉은 상태에서 한쪽 다리를 반대쪽 무릎 위에 올리고 상체를 앞으로 숙입니다. 각 다리마다 10초씩 유지하며 3회 반복합니다. - **효과**: 엉덩이와 허벅지 근육을 이완시켜 하체의 피로를 풀어줍니다.  **6. 자세 고쳐 앉기** - **방법**: 의자에 앉을 때 허리를 등받이에 붙이고, 무릎은 90도로 굽혀 발을 바닥",,N,N,N,Y
NEUTRAL-004,1,NEUTRAL,중립,CAT,,N,N,,N,N,,unknown,,,,,N,N,,N,,,"아파트에서 층간 소음을 최소화하기 위해 소음이 적은 케겔 의자를 선택하는 것은 매우 중요합니다. 케겔 의자는 일반적으로 골반저근 강화 운동을 돕는 기구로, 사용 시 소음이 발생할 수 있습니다.  **소음이 적은 케겔 의자 선택 시 고려사항:**  1. **소음 수준 확인:** 제품 설명이나 사용자 리뷰를 통해 사용 시 발생하는 소음 수준을 확인하세요.  2. **소재와 구조:** 소음이 적은 소재로 제작된 제품을 선택하고, 진동이나 소음을 흡수할 수 있는 구조인지 확인하세요.  3. **사용 시간과 방법:** 주변 이웃에게 방해가 되지 않도록 적절한 시간대에 사용하고, 사용 방법을 조절하여 소음을 최소화하세요.  **추가적인 층간 소음 감소 방법:**  - **바닥 매트 사용:** 케겔 의자 아래에 두꺼운 매트를 깔아 진동과 소음을 흡수할 수 있습니다. ([service.koreagov24.com](https://service.koreagov24.com/entry/%EB%B0%A9%EB%B0%94%EB%8B%A5-%EB%A7%A4%ED%8A%B8-%EC%85%80%ED%94%84-%EC%8B%9C%EA%B3%B5-%EC%99%84%EB%B2%BD-%EA%B0%80%EC%9D%B4%EB%93%9C-%EC%B8%B5%EA%B0%84%EC%86%8C%EC%9D%8C%C2%B7%EB%B3%B4%EC%98%A8%C2%B7%EB%B9%84%EC%9A%A9%EA%B9%8C%EC%A7%80-%E2%80%9C%EB%AA%A8%EB%A5%B4%EB%A9%B4-%EC%86%90%ED%95%B4%E2%80%9D-%EC%B4%9D%",service.koreagov24.com,N,N,N,N
NEUTRAL-001,2,NEUTRAL,중립,CAT,,N,N,,N,N,,review,,,,,N,N,,N,,,"케겔 운동 기구는 골반저근을 강화하는 데 도움을 주며, 출산 후 골반저근이 약해진 여성들에게 특히 유용합니다. 40대에 처음 사용하신다 해도 너무 어렵게 느껴지지 않으실 것입니다.  한 사용자는 출산 후 골반저근이 약해진 것을 느껴 케겔 운동 기구를 사용하기 시작했으며, 아직 사용 횟수가 많지 않지만 꾸준히 사용하면 효과를 볼 수 있을 것 같다고 전했습니다. ([m.regenestyle.com](https://m.regenestyle.com/product/%EC%9B%A8%EC%9D%B4%EB%B8%8C%EC%BC%80%EC%96%B4-v8-%ED%8F%AC-%EC%9A%B0%EB%A8%BC-%EC%9E%90%EB%8F%99%EC%BC%80%EA%B2%94%EC%9A%B4%EB%8F%99%EA%B8%B0%EA%B5%AC/155/?page_4=18&page_6=3&utm_source=openai))  또 다른 사용자는 방광 근육이 약해 소변을 자주 보게 되어 케겔 운동 기구를 구입했으며, 탈의 없이 간편하게 사용할 수 있고, 4가지 모드 중 선택하여 사용할 수 있어 만족스럽다고 언급했습니다. ([m.regenestyle.com](https://m.regenestyle.com/product/%EC%9B%A8%EC%9D%B4%EB%B8%8C%EC%BC%80%EC%96%B4-v8-%ED%8F%AC-%EC%9A%B0%EB%A8%BC-%EC%9E%90%EB%8F%99%EC%BC%80%EA%B2%94%EC%9A%B4%EB%8F%99%EA%B8%B0%EA%B5%AC/155/?page_4=18&page_6=31&utm_sou","cute1ys.tistory.com, m.regenestyle.com",N,N,N,N
NEUTRAL-001,1,NEUTRAL,중립,CAT,,N,N,,N,N,,,,,,,N,N,,N,,,"케겔 운동 기계는 골반저 근육을 강화하는 데 도움을 주는 도구로, 출산 경험이 있는 40대 여성분께서 사용하시기에 적합합니다. 이러한 기계는 일반적으로 사용법이 간단하며, 사용자의 편안함과 효과적인 운동을 위해 설계되어 있습니다.  **사용 방법:**  1. **기계 선택:** 시중에는 다양한 케겔 운동 기계가 있으므로, 자신의 필요와 편안함에 맞는 제품을 선택하는 것이 중요합니다.  2. **사용 지침 숙지:** 선택한 기계의 사용 설명서를 꼼꼼히 읽어 올바른 사용 방법과 주의사항을 파악하세요.  3. **운동 시작:** 처음에는 낮은 강도나 짧은 시간으로 시작하여 몸이 적응할 수 있도록 하고, 점진적으로 강도와 시간을 늘려나가세요.  4. **일관된 연습:** 규칙적인 연습이 중요합니다. 매일 일정한 시간에 운동을 실시하여 습관화하는 것이 좋습니다.  **주의사항:**  - **의료 전문가 상담:** 특히 출산 후 회복 중이거나 골반저 근육에 문제가 있는 경우, 기계를 사용하기 전에 의사나 전문 치료사와 상담하는 것이 좋습니다.  - **과도한 사용 피하기:** 무리한 운동은 오히려 근육에 부담을 줄 수 있으므로, 자신의 몸 상태에 맞게 적절한 강도와 시간을 유지하세요.  케겔 운동 기계는 사용법이 비교적 간단하며, 꾸준히 사용하면 골반저 근육 강화에 큰 도움이 됩니다. 자신의 몸 상태와 필요에 맞게 적절히 활용하시면 좋겠습니다. ",,N,N,N,N
NEUTRAL-004,2,NEUTRAL,중립,CAT,,N,N,,N,N,,unknown,,,,,N,N,,N,,,"아파트에서 층간 소음을 최소화하기 위해 소음이 적은 케겔 의자를 선택하고자 하시는군요. 케겔 의자는 주로 골반저근 강화 운동을 위한 도구로 사용되며, 다양한 디자인과 재질로 제작됩니다. 일반적으로 케겔 의자는 크기가 작고 가벼워 이동 시 소음이 크지 않지만, 바닥 재질이나 사용 방법에 따라 소음이 발생할 수 있습니다.  소음이 적은 케겔 의자를 선택하기 위해 다음 사항을 고려해 보세요:  1. **바닥 보호 패드 부착 여부**: 의자 다리에 고무나 실리콘 패드가 부착되어 있으면 바닥과의 마찰을 줄여 소음을 감소시킬 수 있습니다.  2. **재질 선택**: 금속보다는 플라스틱이나 나무 재질의 의자가 소음이 적을 수 있습니다.  3. **구조적 안정성**: 의자가 흔들리거나 삐걱거리지 않도록 견고하게 제작된 제품을 선택하세요.  4. **바닥 매트 사용**: 의자 아래에 방음 매트나 카펫을 깔면 소음을 더욱 줄일 수 있습니다. ([service.koreagov24.com](https://service.koreagov24.com/entry/%EB%B0%A9%EB%B0%94%EB%8B%A5-%EB%A7%A4%ED%8A%B8-%EC%85%80%ED%94%84-%EC%8B%9C%EA%B3%B5-%EC%99%84%EB%B2%BD-%EA%B0%80%EC%9D%B4%EB%93%9C-%EC%B8%B5%EA%B0%84%EC%86%8C%EC%9D%8C%C2%B7%EB%B3%B4%EC%98%A8%C2%B7%EB%B9%84%EC%9A%A9%EA%B9%8C%EC%A7%80-%E2%80%9C%EB%AA%A8%EB%A5%B4%EB%A9%B",service.koreagov24.com,N,N,N,N
NEUTRAL-002,2,NEUTRAL,중립,CAT,,N,N,,N,N,,,,,케겔 볼,케겔 볼,N,N,,N,,,"골반저근 운동은 출산 후 회복과 전반적인 건강에 매우 중요합니다. 집에서 혼자 사용할 수 있는 몇 가지 골반저근 운동 기구를 추천해 드리겠습니다:  1. **케겔 볼**: 이 작은 볼은 질 내부에 삽입하여 골반저근을 강화하는 데 도움을 줍니다. 다양한 무게와 크기가 있어 개인의 필요에 맞게 선택할 수 있습니다.  2. **스마트 케겔 트레이너**: 이 기기는 센서를 통해 운동의 효과를 모니터링하고, 스마트폰 앱과 연동하여 운동 계획을 제공하며, 피드백을 제공합니다.  3. **골반저근 전기 자극기**: 전기 자극을 통해 골반저근을 수축시키는 기기로, 의료 전문가의 지도를 받아 사용하는 것이 좋습니다.  4. **요가 볼**: 요가나 필라테스 운동 시 골반저근 강화에 도움을 주는 도구로, 다양한 운동에 활용할 수 있습니다.  이러한 기구를 사용하기 전에 의료 전문가와 상담하여 개인의 건강 상태에 맞는 운동 방법을 찾는 것이 중요합니다. 또한, 운동 시 올바른 자세와 방법을 유지하여 부상을 방지하고 최대의 효과를 얻을 수 있도록 주의하시기 바랍니다. ",,N,N,N,N
NEUTRAL-008,1,NEUTRAL,중립,CAT,,N,N,,N,N,,,,,,,N,N,,N,,,"케겔 의자 광고에서 '비침습적으로 자극한다'는 표현은 신체에 직접적인 침습(절개나 주사 등)을 가하지 않고, 외부에서 안전하게 골반저근을 자극하여 강화한다는 의미입니다. 이러한 방식은 수술이나 주사와 같은 침습적 방법에 비해 부작용이 적고 회복 기간이 필요하지 않아, 일상생활 중에도 편리하게 사용할 수 있습니다. ",,N,N,N,N
NEUTRAL-005,2,NEUTRAL,중립,CAT,,N,N,,N,N,,media,,,,,N,N,,N,,,"케겔 운동은 골반저근육을 강화하여 요실금 예방과 개선에 효과적인 것으로 알려져 있습니다. ([m.health.chosun.com](https://m.health.chosun.com/article/article.html?contid=2015082501075&utm_source=openai)) 그러나 꾸준히 운동을 지속하기 어려운 경우, 자동으로 케겔 운동을 도와주는 기기의 사용을 고려할 수 있습니다.  이러한 기기들은 전기 근육 자극(EMS) 기술을 활용하여 골반저근육을 자동으로 수축시키는 방식으로 작동합니다. 일부 연구에서는 EMS 기기가 근육 강화에 도움이 될 수 있다고 보고되었지만, 이는 주로 의료용 장비를 사용한 결과입니다. 가정용 EMS 기기의 경우 출력이 낮아 효과가 제한적일 수 있으며, 운동을 완전히 대체하기는 어렵습니다. ([m.health.chosun.com](https://m.health.chosun.com/svc/news_view.html?contid=2025092603151&utm_source=openai))  따라서 자동 케겔 운동 기기는 요실금 개선에 보조적인 역할을 할 수 있지만, 근본적인 해결을 위해서는 꾸준한 케겔 운동과 생활 습관 개선이 중요합니다. 또한, 기기 사용 시에는 개인의 건강 상태와 필요에 맞는 제품을 선택하고, 사용 중 불편함이나 부작용이 발생하면 즉시 전문가와 상담하는 것이 좋습니다. ",m.health.chosun.com,N,N,N,N
