prompt_id,category_code,category,subcategory,target_competitor,runs,mention_count,mention_rate,recommendation_count,recommendation_rate,top1_count,top1_rate,top3_count,top3_rate,clarification_count,off_topic_count,evasion_count,positive_count,neutral_count,negative_count,wins,losses,draws,surfaced_count,co_mentioned_count,not_surfaced_count,prompt_text,sample_response_preview
BRAND_ONLY-001,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 살 만해? 6개월 이상 써본 사람들 실제 반응이 어때?,"죄송하지만, 현재 제공된 정보로는 '바디닥터K' 제품에 대한 6개월 이상 사용한 실제 사용자들의 후기를 찾을 수 없었습니다. 이러한 경우, 제품의 공식 웹사이트나 신뢰할 수 있는 온라인 쇼핑몰의 리뷰 섹션을 확인하시는 것을 권장드립니다. 또한, 관련 온라인 커뮤니티나 포럼에서 다른 사용자들의 경험을 찾아보실 수 있습니다. "
BRAND_ONLY-002,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 가격이 비싼 편인데 그 가격대 EMS 케겔 의자 효과 대비 만족도가 어때?,"바디닥터K는 고주파 에너지를 활용하여 피부 탄력, 보습, 피부결 개선 등 다양한 효과를 제공하는 홈케어 디바이스로 알려져 있습니다. 이러한 다기능성과 홈케어의 편리함으로 인해 가격대가 높은 편입니다. ([impacty.tistory.com](https://impacty.tistory.com/859?utm_source=openai))  EMS 케겔 의자는 전기 근육 자극을 통해 골반저근을 강화하여 요실금 개선, 성기능 향상 등의 효과를 기대할 수 있는 제품입니다. 이러한 기능성으로 인해 가격이 높을 수 있습니다.  두 제품 모두 고가이지만, 각자의 특화된 기능과 효과를 제공합니다. 따라서 만족도는 개인의 필요와 기대하는 효과에 따라 달라질 수 있습니다. 구매 전에 자신의 목적과 필요에 맞는 제품인지 신중히 고려하는 것이 중요합니다. "
BRAND_ONLY-003,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 구매 후 3개월 안에 후회한 사람 있어? 솔직한 후기 좀 알려줘,"죄송하지만, 현재 제공된 정보로는 바디닥터K 제품을 구매한 후 3개월 이내에 후회한 소비자들의 솔직한 후기를 찾을 수 없습니다. 이러한 후기를 얻기 위해서는 온라인 쇼핑몰의 상품 리뷰나 관련 커뮤니티, 포럼 등을 참고하시는 것이 좋습니다. 특히, 해당 제품을 사용한 소비자들의 경험담을 확인할 수 있는 블로그나 소셜 미디어 플랫폼을 살펴보시면 도움이 될 것입니다. "
BRAND_ONLY-004,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,"바디닥터K 어떤 연령대, 어떤 목적의 사람들이 가장 만족하는 것 같아?","죄송하지만, 현재 제공된 정보로는 바디닥터K에 대한 구체적인 사용자 연령대나 만족도에 대한 자료를 찾을 수 없습니다. 일반적으로 건강 관련 제품은 개인의 필요와 목적에 따라 만족도가 달라질 수 있습니다. 따라서 바디닥터K의 효과와 만족도는 개인의 건강 상태, 사용 목적, 기대하는 결과 등에 따라 다를 수 있습니다. 정확한 정보를 얻기 위해서는 해당 제품의 공식 자료나 사용자 리뷰를 참고하시거나, 전문가와 상담하시는 것이 좋습니다. "
BRAND_ONLY-005,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K와 다른 EMS 케겔 의자형 제품들 비교했을 때 차별점이 뭐야?,"바디닥터K는 GN 바디닥터에서 개발한 EMS 기반의 자동 케겔 운동기로, 제품 위에 앉아 있으면 전기 자극을 통해 골반저근의 수축과 이완을 유도하여 요실금 치료와 골반저근 강화에 도움을 줍니다. ([news.nate.com](https://news.nate.com/view/20260223n40043?utm_source=openai))  이러한 EMS 케겔 의자형 제품들은 일반적으로 사용자의 편의성을 높이고, 별도의 운동 없이도 골반저근을 강화할 수 있도록 설계되어 있습니다. 그러나 각 제품마다 특징과 차별점이 존재합니다.  바디닥터K의 주요 차별점은 다음과 같습니다:  1. **의료기기 인증 획득**: 바디닥터K는 식품의약품안전처의 3등급 의료기기로 등록되어 있으며, 미국 FDA 1등급 및 2등급 의료기기 인증도 획득한 가정용 요실금 치료기입니다. ([nbntv.co.kr](https://www.nbntv.co.kr/news/articleView.html?idxno=3010167&utm_source=openai))  2. **사용 편의성**: 제품 위에 앉아 있는 것만으로도 케겔 운동이 가능하여, 별도의 복잡한 동작이나 운동 습관이 필요하지 않습니다. ([news.nate.com](https://news.nate.com/view/20260223n40043?utm_source=openai))  3. **다양한 연령층의 활용**: 주로 중장년층을 대상으로 하지만, 엉덩이 근육 강화 등의 목적으로 20~30대 젊은 층에서도 구매가 증가하고 있습니다. ([fntoday.co.kr](https://www.fntoday"
BRAND_ONLY-006,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 진짜 매일 30분 앉기만 해도 골반저근 운동이 되는 거야?,"바디닥터K는 최첨단 EMS 기술을 활용하여 사용자가 앉아 있는 동안 자동으로 케겔 운동과 엉덩이 근육 강화를 돕는 제품입니다. ([bodydoctor.co.kr](https://bodydoctor.co.kr/product/list2?idx=24&viewMode=view&utm_source=openai)) 이 기기는 하루 30분간 앉아 있으면 저주파 자극을 통해 골반저근을 강화하여 요실금 치료에 도움을 주는 원리로 작동합니다. ([www5.seoul.co.kr](https://www5.seoul.co.kr/news/economy/2024/03/21/20240321016004?utm_source=openai))  또한, 바디닥터K는 식품의약품안전처의 허가를 받은 의료기기로, 요실금 치료에 도움을 주는 것으로 인증받았습니다. ([www5.seoul.co.kr](https://www5.seoul.co.kr/news/economy/2024/03/21/20240321016004?utm_source=openai)) 그러나 개인마다 효과는 다를 수 있으므로, 사용 전에 전문가와 상담하시는 것이 좋습니다. "
BRAND_ONLY-007,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 공식몰 말고 쿠팡이나 네이버에서 사도 정품 보증되고 A/S 받을 수 있어?,"바디닥터K 제품을 쿠팡이나 네이버에서 구매하실 경우, 해당 판매처가 공식 인증된 판매자인지 확인하는 것이 중요합니다. 네이버의 경우, '하이엔드'와 같은 공식 인증 스토어를 통해 구매하시면 정품 보증과 A/S를 동일하게 받을 수 있습니다. ([news2day.co.kr](https://www.news2day.co.kr/article/20251031500334?utm_source=openai)) 쿠팡에서도 공식 인증된 판매자를 통해 구매하시면 정품 보증과 A/S를 받을 수 있습니다.  따라서, 쿠팡이나 네이버에서 바디닥터K 제품을 구매하실 때는 해당 판매처가 공식 인증된 곳인지 확인하시고, 정품 보증 및 A/S 제공 여부를 확인하시는 것이 좋습니다. "
BRAND_ONLY-008,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,바디닥터K 가벼운 요실금이나 골반저근 약화 있는 사람도 안전하게 써도 돼?,바디닥터K는 골반저근 전기자극을 통해 요실금 예방 및 치료에 도움을 주는 의료기기입니다. 식품의약품안전처로부터 요실금 치료에 도움을 주는 3등급 의료기기로 허가받아 안전성이 입증되었습니다. ([www5.seoul.co.kr](https://www5.seoul.co.kr/news/economy/business-news/2024/06/26/20240626500014?utm_source=openai)) 이 제품은 하루 30분간 앉아 있으면 자동으로 케겔 운동이 되어 골반저근과 엉덩이 근육을 강화해 줍니다. ([www1.seoul.co.kr](https://www1.seoul.co.kr/news/economy/business-news/2024/12/30/20241230038001?utm_source=openai)) 따라서 가벼운 요실금이나 골반저근 약화가 있는 분들도 안전하게 사용할 수 있습니다. 
BRAND_ONLY-009,BRAND_ONLY,브랜드 지명,,,2,2,100.0,1,50.0,0,0.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,바디닥터K 지금 사도 괜찮은 시기야? 신모델 출시 임박했다거나 그런 건 없어?,"현재까지의 정보에 따르면, 바디닥터K의 신모델 출시와 관련된 공식 발표나 예정된 일정은 확인되지 않습니다. 따라서 지금 바디닥터K를 구매하셔도 괜찮을 것으로 보입니다. "
BRAND_ONLY-010,BRAND_ONLY,브랜드 지명,,,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,바디닥터K 케겔 EMS 의자 처음 써보는 초보자도 바로 적응할 수 있어?,"바디닥터K 케겔 힙머신은 최첨단 EMS 기술을 활용하여 앉기만 해도 자동으로 케겔 운동과 엉덩이 근육 강화를 동시에 할 수 있는 제품입니다. ([bodydoctor.co.kr](https://bodydoctor.co.kr/product/list2?idx=24&viewMode=view&utm_source=openai)) 이러한 특성으로 인해 초보자도 쉽게 사용할 수 있도록 설계되어 있습니다.  EMS(Electrical Muscle Stimulation)는 저주파 전기 자극을 통해 운동신경을 직접 활성화하여 근육의 수축을 유도하는 스마트 트레이닝 방식입니다. ([emsacademykorea.com](https://emsacademykorea.com/?utm_source=openai)) 따라서, 바디닥터K 케겔 힙머신은 사용자가 특별한 기술이나 경험 없이도 편안하게 앉아서 효과적인 운동을 할 수 있도록 도와줍니다.  그러나 개인마다 전기 자극에 대한 민감도가 다를 수 있으므로, 처음 사용할 때는 낮은 강도에서 시작하여 점진적으로 강도를 조절하는 것이 좋습니다. 또한, 사용 전에 제품의 사용 설명서를 꼼꼼히 읽고, 권장 사용 방법과 주의사항을 숙지하는 것이 중요합니다.  만약 사용 중 불편함이나 이상 반응이 나타난다면 즉시 사용을 중단하고 전문가와 상담하시기 바랍니다. "
