"prompt_id","category_code","category","sub_angle","prompt_text","target_competitor","persona","change_note"
"NEUTRAL-001","NEUTRAL","중립","CAT","30대 직장인인데 구강청결제 처음 써봐. 입냄새 케어용으로 뭐 사면 돼?","","P1","페르소나+목적 명시"
"NEUTRAL-002","NEUTRAL","중립","CAT","20대 후반인데 가글 입문자야. 자극 약하면서 무난한 거 뭐 있어?","","P1","페르소나+조건"
"NEUTRAL-003","NEUTRAL","중립","CAT","500ml 이상 용량 기준으로 가성비 좋은 가글 고르려면 뭐 봐야 해?","","","비교 기준 명시"
"NEUTRAL-004","NEUTRAL","중립","CAT","30대 사무직인데 집에서 매일 한 번씩 쓸 거야. 가글 뭐 사는 게 나아?","","P1","페르소나+사용 빈도"
"NEUTRAL-005","NEUTRAL","중립","CAT","30대 직장인 처음 가글 고르는 거라 입냄새 잡는 데 뭐가 효과적인지 모르겠어","","P1","페르소나+목적"
"NEUTRAL-006","NEUTRAL","중립","CAT","가글 종류 너무 많은데 입냄새 케어 입문자 기준으로 1만원대에서 뭐 사면 돼?","","","목적+가격대"
"NEUTRAL-007","NEUTRAL","중립","CAT","30대 직장인인데 점심 후 하루 한 번씩 쓸 거야. 부담 없는 가글 있어?","","P1","페르소나+사용 시점"
"NEUTRAL-008","NEUTRAL","중립","CAT","의지박약이라 가글 매일 쓰는 거 귀찮아할 것 같은데 그래도 효과 있는 거 있어?","","","조건 구체화"
"NEUTRAL-009","NEUTRAL","중립","CAT","30대 1인 가구인데 집에 가글 하나 두려고. 입냄새+잇몸 케어 둘 다 되는 무난한 거 뭐야?","","P1","페르소나+이중 목적"
"NEUTRAL-010","NEUTRAL","중립","CAT","20대 후반인데 구강관리 처음이야. 양치+가글 시작하려면 뭐부터 써야 할까?","","P1","페르소나+카테고리 명시"
"NEUTRAL-011","NEUTRAL","중립","CAT","가글 1만원 이하 저렴한 거 중에 입냄새 잡는 데 실제로 쓸 만한 거 있어?","","","가격대+목적"
"NEUTRAL-012","NEUTRAL","중립","CAT","대용량 500ml 이상 기준으로 가성비 따지면 가글 뭐 사는 게 이득이야?","","","조건 구체화"
"NEUTRAL-013","NEUTRAL","중립","CAT","ml당 가격으로 따져서 용량 대비 가성비 괜찮은 구강청결제 뭐 있어?","","","비교 기준 명시"
"NEUTRAL-014","NEUTRAL","중립","CAT","희석 같은 거 안 하고 뚜껑 따서 바로 쓸 수 있는 간단한 가글 뭐 있어?","","","조건 구체화"
"NEUTRAL-015","NEUTRAL","중립","CAT","30대 자취생인데 혼자 매일 꾸준히 쓰기 편한 가글 뭐 있어?","","P1","페르소나 명시"
"NEUTRAL-016","NEUTRAL","중립","CAT","사용법이 제일 간단한 구강청결제, 그냥 입에 머금었다 뱉기만 하면 되는 거 뭐야?","","","조건 구체화"
